Time,Plate1_Fx,Plate1_Fy,Plate1_Fz,Plate2_Fx,Plate2_Fy,Plate2_Fz
4.01,-52.4983364017463,-59.9428012448985,635.991511058307,-0,-0,-0
4.02,-41.1864897588135,-24.9012663085091,599.813777530493,-0,-0,-0
4.03,-52.7980466949425,-58.603643805851,621.840051952939,-0,-0,-0
4.04,-58.3090628353881,-79.3523211073066,668.700784305895,-0,-0,-0
4.05,-49.1911601662682,-48.6138409125482,623.901765327543,-0,-0,-0
4.06,-48.5384200148938,-46.0085003427196,620.914226645913,-0,-0,-0
4.07,-47.9579771960892,-43.4641780981955,617.577470535859,-0,-0,-0
4.08,-47.4158639704338,-41.0846207574904,614.183604221355,-0,-0,-0
4.09,-46.8913400284649,-38.8562497859471,610.830347155399,-0,-0,-0
4.1,-9.22186937528674,33.1584553641616,691.095125703234,-0,-0,-0
4.11,-26.2569430439317,1.01156979688211,615.221046567589,-0,-0,-0
4.12,-103.910370401238,-140.325414574659,509.85140771726,-0,-0,-0
4.13,-46.6312492593852,-33.139216012334,603.517438107767,-0,-0,-0
4.14,-46.5681340237462,-31.9646990196705,602.751599196338,-0,-0,-0
4.15,-46.6724455466393,-31.1467670978511,602.679269886258,-0,-0,-0
4.16,-39.2451309526151,-44.8515522919793,719.983436914517,-0,-0,-0
4.17,-40.5091719758264,-31.0499055239519,615.071848828318,-0,-0,-0
4.18,-59.5942851453349,-13.8609024897909,478.486508788432,-0,-0,-0
4.19,-48.1590421021242,-29.0537911844748,609.434687262806,-0,-0,-0
4.2,-48.6648670858887,-28.3531282635461,613.465919456336,-0,-0,-0
4.21,-137.518605156632,-142.824603961642,604.16836702493,-0,-0,-0
4.22,-16.9981668628473,7.15554875696725,621.500249507596,-0,-0,-0
4.23,8.87363754815664,63.4698937135717,647.778173762608,-0,-0,-0
4.24,-48.8847532176967,-18.8683131788632,638.430542240002,-0,-0,-0
4.25,-49.2867496107679,-17.0419223818566,648.361508052143,-0,-0,-0
4.26,-50.0145107221541,-16.1288125302532,658.303672284949,-0,-0,-0
4.27,-51.0316414424386,-15.9334959714972,666.988107599741,-0,-0,-0
4.28,-52.2197246174814,-15.9593033372518,673.688903899937,-0,-0,-0
4.29,-53.4200656875191,-15.7554315531538,678.246068949015,-0,-0,-0
4.3,-32.9379669335334,-22.1442630958693,562.217549293786,-0,-0,-0
4.31,-60.7217999590646,-2.92573866069499,710.781948156997,-0,-0,-0
4.32,-72.9187542356801,-15.6313595777295,769.789490308056,-0,-0,-0
4.33,-57.6522810657563,-10.8115108097301,682.141539558913,-0,-0,-0
4.34,-58.3575183370185,-8.77588296815262,681.042610980748,-0,-0,-0
4.35,-58.9341484353848,-6.70622084998239,679.644238483138,-0,-0,-0
4.36,-59.3456878518546,-4.66195579907804,677.898448007827,-0,-0,-0
4.37,-61.6124905845624,24.2600592083236,619.199792273488,-0,-0,-0
4.38,-56.5474530102629,-5.51120650702762,669.89962021479,-0,-0,-0
4.39,-59.5648038529087,-22.3298670410035,732.339100915685,-0,-0,-0
4.4,-59.6432048615047,1.3285397404897,668.497631680162,-0,-0,-0
4.41,-59.4290524488724,2.43177468508313,665.367768613261,-0,-0,-0
4.42,-59.1351044606448,3.36672539555541,662.066655859179,-0,-0,-0
4.43,-58.8215341779109,4.14738574825211,658.727929318676,-0,-0,-0
4.44,-58.5237826385354,4.87838454887284,655.281401568926,-0,-0,-0
4.45,-58.2847993276475,5.54538039432361,652.034333829367,-0,-0,-0
4.46,-75.0564594430769,8.31364217406055,737.725468262675,-0,-0,-0
4.47,-69.3480395148505,21.4165762111001,698.283622203499,-0,-0,-0
4.48,-28.6396325482672,-10.510725777181,501.754144233882,-0,-0,-0
4.49,-58.2948891050299,8.59724785913302,641.818553204605,-0,-0,-0
4.5,-58.5310749498847,9.45082531421902,639.937272596938,-0,-0,-0
4.51,-58.7744663919132,10.3210568690348,638.203438169965,-0,-0,-0
4.52,-59.0282064466844,11.2002624663884,636.646503531588,-0,-0,-0
4.53,-59.2673582830659,12.0636665323801,635.194670223926,-0,-0,-0
4.54,-59.4699282517993,12.884488904448,633.762964158432,-0,-0,-0
4.55,-59.6176141235257,13.6349671161205,632.257465345517,-0,-0,-0
4.56,-59.6648922216924,14.2613315262502,630.455447561099,-0,-0,-0
4.57,-27.5127143248632,-9.09887721884713,467.907170490712,-0,-0,-0
4.58,-72.0486851374928,35.5244250574969,695.359246933995,-0,-0,-0
4.59,-69.3753967534677,17.2490738940098,672.853365728024,-0,-0,-0
4.6,-48.5170810334917,12.3481701222244,568.563185687177,-0,-0,-0
4.61,-40.7502382047442,10.1483156840405,524.589445407887,-0,-0,-0
4.62,-26.9966356874129,6.3665440914026,435.206686299647,-0,-0,-0
4.63,-7.83619059507091,1.46262952470375,246.384514751808,-0,-0,-0
4.64,-0.00878691036556223,-0.0252266529633619,8.76233017184707,-0,-0,-0
4.65,-0,-0,-0,-0,-0,-0
4.66,-0,-0,-0,-0,-0,-0
4.67,-0,-0,-0,-0,-0,-0
4.68,-0,-0,-0,-0,-0,-0
4.69,-0,-0,-0,-0,-0,-0
4.7,-0,-0,-0,-0,-0,-0
4.71,-0,-0,-0,-0,-0,-0
4.72,-0,-0,-0,-0,-0,-0
4.73,-0,-0,-0,-0,-0,-0
4.74,-0,-0,-0,-0,-0,-0
4.75,-0,-0,-0,-0,-0,-0
4.76,-0,-0,-0,-0,-0,-0
4.77,-0,-0,-0,-0,-0,-0
4.78,-0,-0,-0,-0,-0,-0
4.79,-0,-0,-0,-0,-0,-0
4.8,-0,-0,-0,-0,-0,-0
4.81,-0,-0,-0,-0,-0,-0
4.82,-0,-0,-0,-0,-0,-0
4.83,-0,-0,-0,-0,-0,-0
4.84,-0,-0,-0,-0,-0,-0
4.85,-0,-0,-0,-0,-0,-0
4.86,-0,-0,-0,-0,-0,-0
4.87,-0,-0,-0,-0,-0,-0
4.88,-0,-0,-0,-0,-0,-0
4.89,-0,-0,-0,-0,-0,-0
4.9,-0,-0,-0,-0,-0,-0
4.91,-0,-0,-0,-0,-0,-0
4.92,-0,-0,-0,-0,-0,-0
4.93,-0,-0,-0,-0,-0,-0
4.94,-0,-0,-0,-0,-0,-0
4.95,-0,-0,-0,-0,-0,-0
4.96,-0,-0,-0,-0,-0,-0
4.97,-0,-0,-0,-0,-0,-0
4.98,-0,-0,-0,-0,-0,-0
4.99,-0,-0,-0,-0,-0,-0
5,-0,-0,-0,-0,-0,-0
