Time,Angle_HipFlexion,Angle_HipAbduction,Angle_KneeFlexion,Angle_AnklePlantarFlexion,Angle_ElbowFlexion,Angle_WristFlexion
2.61,1.97764909801887,-0.734551188291736,11.8163563162807,-0.554009636558836,15.6447753355775,-52.4425082951336
2.62,1.352311039452,-0.547754169533491,12.6814788935048,-0.699659192744693,15.572262178998,-52.4802823487293
2.63,0.769477816909512,-0.419710559625655,13.4864483025641,-0.898655636387476,15.5203511100082,-52.5295436442569
2.64,0.276395382818142,-0.454547593483908,14.1980767230554,-1.12244493748367,15.4937376302634,-52.591876126209
2.65,-0.162332368244838,-0.624107334514678,14.8183377072727,-1.38279788462509,15.4922131039264,-52.6659302666667
2.66,-0.590763690122674,-0.848889445841422,15.364808081824,-1.69625678726901,15.5129258297722,-52.7489838052479
2.67,-1.02253534465253,-1.08279774323454,15.8492434834136,-2.06318919301572,15.5537980501029,-52.838845405889
2.68,-1.45532773898023,-1.30840250321337,16.2774335167015,-2.4740112864032,15.6136281940516,-52.9338470056824
2.69,-1.88346604284482,-1.51982255982736,16.652628890603,-2.91592579603786,15.691487262903,-53.0325104545736
2.7,-2.30244078229314,-1.71540500107598,16.9768681257134,-3.37580773989313,15.7864318340771,-53.1334182074161
2.71,-2.71037785855405,-1.89439104314957,17.2516084263212,-3.84171072336915,15.8973669847817,-53.2351886777085
2.72,-3.1082546824557,-2.05592768113184,17.4777824555385,-4.30348033454166,16.0230022478517,-53.3365034126405
2.73,-3.49960913520011,-2.19873494504694,17.6558886460066,-4.75310095480565,16.1618670900205,-53.436150172012
2.74,-3.88982657460611,-2.32094199499179,17.7861690319285,-5.18483770613697,16.3123415412674,-53.5330637807001
2.75,-4.28532562338646,-2.42032988864941,17.8687396892885,-5.5951494061493,16.472720911282,-53.6263580215516
2.76,-4.69270215280721,-2.49442166041018,17.903832756421,-5.98253472308164,16.6412800557688,-53.7153380436804
2.77,-5.11802064627505,-2.54084477388292,17.8919612529449,-6.34722213114468,16.8163529861287,-53.7994961285537
2.78,-5.56621806105679,-2.55764464032967,17.8340950039161,-6.6908049779639,16.9964029127215,-53.8784922423749
2.79,-6.04065625053697,-2.54358072708695,17.7318117017968,-7.0158419752205,17.1800788517896,-53.9521260498119
2.8,-6.54285450617467,-2.49838449624569,17.5874035516741,-7.32545756103112,17.3662534556827,-54.020306553903
2.81,-7.07241254337908,-2.42291110456386,17.4039405617881,-7.62298809563113,17.5540371343361,-54.083023201107
2.82,-7.62709870842178,-2.31909423479034,17.1853102878529,-7.91172523624749,17.7427671546571,-54.1403187618057
2.83,-8.20314565935535,-2.1899238764706,16.9361501838343,-8.19470986047385,17.9319855601538,-54.1922613060453
2.84,-8.79562634576035,-2.03907478055793,16.6618125450979,-8.47469318089268,18.1213988393635,-54.2389121744612
2.85,-9.39892522718382,-1.8704884778197,16.3682716366422,-8.75416156083575,18.31083217211,-54.2802929416052
2.86,-10.0072080468495,-1.68797255657668,16.0619856981567,-9.03538054074398,18.5001773459824,-54.3163594193603
2.87,-10.6148110366501,-1.49491066535209,15.7497151003735,-9.32040972724808,18.6893351184956,-54.346990880222
2.88,-11.2165237454538,-1.29411191731428,15.438304571585,-9.61107503701749,18.8781559664297,-54.3719972899883
2.89,-11.8077842505596,-1.0877449733071,15.134452631424,-9.90892283159389,19.0663850396204,-54.3911416091261
2.9,-12.3848228979457,-0.877285798208897,14.8444944705413,-10.2151898232087,19.2536171254212,-54.404172041584
2.91,-12.9447856539082,-0.663433415603446,14.5742201171931,-10.5308130111773,19.4392654335785,-54.4108600518141
2.92,-13.4858560383117,-0.445978291288159,14.3287435301604,-10.8564909409616,19.6225455549954,-54.4110415809719
2.93,-14.0073842990254,-0.223623053314009,14.1124341436438,-11.1927995468491,19.8024742735636,-54.4046594815049
2.94,-14.5100278627776,0.00626250061279562,13.9289255714907,-11.54036649652,19.9778816876052,-54.3918047218774
2.95,-14.9959501082631,0.247993009474173,13.7812035025144,-11.9001021509963,20.1474343243856,-54.3727532214124
2.96,-15.4692585695235,0.508104889474154,13.6717340179168,-12.2734681301734,20.3096664958267,-54.3479954523861
2.97,-15.9369232520997,0.796860517657121,13.6028094279075,-12.6629361083615,20.4630035531109,-54.3182600141742
2.98,-16.4118407542008,1.13181585001148,13.5769412164213,-13.0727091604145,20.6057808634595,-54.2845382677531
2.99,-16.9265197588156,1.548123350665,13.5962702299014,-13.510265192772,20.7364248314612,-54.2481771299893
3,-17.5361221798392,1.89139168637607,13.5990787442331,-13.9486906848656,20.8640104138421,-54.2111378764374
3.01,-18.1216019358403,1.39765620095748,13.3782503086449,-14.2384985412209,21.0172282280009,-54.1748713961381
3.02,-18.3294593882737,0.23287053619484,13.0553012188112,-14.3681165683313,21.1622772991507,-54.1376084284642
3.03,-18.4562011256072,-0.993096664609424,12.7538814041472,-14.4731592378703,21.2889579543657,-54.101489719584
3.04,-18.6234169324679,-2.11241183213547,12.4954772312522,-14.6008644794823,21.3943520154813,-54.0685993420245
3.05,-18.8441515931413,-3.09732613436058,12.2824577845532,-14.7661379921492,21.4749203103215,-54.0405969236271
3.06,-19.1192728516138,-3.932364703006,12.1187842655741,-14.9810895619435,21.5279435255028,-54.0190646512957
3.07,-19.4405820892223,-4.61179045171113,12.0099101641886,-15.2541673902371,21.5514940190529,-54.0053581038892
3.08,-19.7944079261778,-5.13710416654229,11.9624855471874,-15.5897266224028,21.5444365718536,-54.0004963602931
3.09,-20.1649783430738,-5.51476964699552,11.9840426197029,-15.9879670847092,21.5064193108553,-54.0050626297477
3.1,-20.5370813096233,-5.75419427896724,12.0828029532238,-16.4451698253846,21.4378382417652,-54.0191206347528
3.11,-20.8977637937896,-5.8661337351834,12.2676211107844,-16.9540972094961,21.3397852076279,-54.042166392006
3.12,-21.2370785547464,-5.86165308182254,12.5480143956029,-17.504427428142,21.2139803081336,-54.0731255761903
3.13,-21.5480916253703,-5.75163742098459,12.9342102585422,-18.0831590863565,21.0626895689211,-54.1103993075366
3.14,-21.826411393258,-5.54670976388293,13.4371667051848,-18.6749972075397,20.8886161695886,-54.1519437020761
3.15,-22.0694391790967,-5.2573562176626,14.0685492250692,-19.262771686081,20.6947982354752,-54.1953887341063
3.16,-22.2754589561532,-4.89407676486829,14.8406557847721,-19.8279316018685,20.484629263308,-54.2382515353303
3.17,-22.4426306343043,-4.46737194782066,15.7663088129486,-20.3511351934725,20.2615373136991,-54.2779201057203
3.18,-22.5541596665573,-3.97246197011515,16.8546200043584,-20.8210654568718,20.0293592103635,-54.3122087852519
3.19,-22.5548367328515,-3.37139518989077,18.1068179980489,-21.2458708918583,19.7925791524691,-54.3395830440091
3.2,-22.4718528660915,-2.73018071954694,19.5505404078182,-21.5784058907907,19.5532909352527,-54.3557773389452
3.21,-22.3939499195036,-2.13674045287796,21.2086972866782,-21.7483521243898,19.3135225490968,-54.3581422218012
3.22,-22.2599388337251,-1.54559351705485,23.0818950469831,-21.7739977981802,19.0776823909273,-54.3465453295775
3.23,-22.0383034209074,-0.943634937995419,25.1682836019731,-21.6522417321756,18.8494193027785,-54.3203955295599
3.24,-21.71767735207,-0.335218013367758,27.4606037765309,-21.369812408871,18.6317961791413,-54.2791736673861
3.25,-21.288526478331,0.275680134721248,29.9432162324042,-20.9177345962726,18.427637537716,-54.2228419957479
3.26,-20.7441896530849,0.884842937583559,32.5918587775202,-20.293743577888,18.2394587747364,-54.1518337254065
3.27,-20.081667868833,1.48726393857983,35.3741183881127,-19.5046183105337,18.06939725408,-54.0670189632765
3.28,-19.302141561526,2.07681281147008,38.2505747621565,-18.5677923298544,17.9191569446363,-53.9696553865888
3.29,-18.4352140578698,2.65067043365304,41.1837186424629,-17.5227675750806,17.7909948875342,-53.8623984575131
3.3,-17.5500680627884,3.22576660153405,44.151582424824,-16.4473973711983,17.6891011431246,-53.7503599425149
