Time,Right_Fx,Right_Fy,Right_Fz,Right_Mx,Right_My,Right_Mz,Left_Fx,Left_Fy,Left_Fz,Left_Mx,Left_My,Left_Mz
4.01,-0,-0,-0,-0,-0,-0,-22.4444670544596,-2.50150485841053,661.063172533357,-237.374184742608,145.074147983966,-4.50206660777132
4.02,-0,-0,-0,-0,-0,-0,-21.3857883475128,-2.52866472326657,661.088585187094,-237.314914258603,145.157661076516,-4.31072408476239
4.03,-0,-0,-0,-0,-0,-0,-20.2679048642793,-2.60451731805395,661.102625502386,-237.170748443001,145.273741409415,-4.10340210831635
4.04,-0,-0,-0,-0,-0,-0,-19.1125150367376,-2.7100640855839,661.119388460624,-236.954130434389,145.413147995342,-3.88787209090223
4.05,-0,-0,-0,-0,-0,-0,-17.9337818406914,-2.81206541937639,661.11200641514,-236.694103754864,145.570913864332,-3.67710904441372
4.06,-0,-0,-0,-0,-0,-0,-16.7505194466763,-2.94464209152977,661.046759135328,-236.322221152501,145.739459833032,-3.45506496206504
4.07,-0,-0,-0,-0,-0,-0,-15.5804591248935,-2.99303302370971,660.966777090838,-235.987573724318,145.904765065147,-3.26456910106416
4.08,-0,-0,-0,-0,-0,-0,-14.4347956461617,-3.00569482711866,660.834021612816,-235.604423236775,146.065637225768,-3.08613914334908
4.09,-0,-0,-0,-0,-0,-0,-13.3249640715351,-2.95880155535812,660.664908839078,-235.195553313574,146.216621605643,-2.92991786713142
4.1,-0,-0,-0,-0,-0,-0,-12.2615295263151,-2.83649208776525,660.47719390942,-234.776033284759,146.352791354141,-2.79980317365744
4.11,-0,-0,-0,-0,-0,-0,-11.2506431358587,-2.62658338970399,660.269992636339,-234.358938231417,146.471678499709,-2.69837680266285
4.12,-0,-0,-0,-0,-0,-0,-10.2970658304228,-2.32840686123329,660.063235714864,-233.946033629964,146.572678964949,-2.6262527349086
4.13,-0,-0,-0,-0,-0,-0,-9.38425080056568,-1.97400688043096,659.844131698515,-233.504613948066,146.671340306719,-2.56642686971748
4.14,-0,-0,-0,-0,-0,-0,-8.58050540049586,-1.41157878095639,659.669807217415,-233.221584120892,146.71375970553,-2.58753546709681
4.15,-0,-0,-0,-0,-0,-0,-7.77922895980656,-0.880703737446116,659.488607998837,-232.82040972015,146.790999554183,-2.58096403810234
4.16,-0,-0,-0,-0,-0,-0,-7.04503853731205,-0.232655455454638,659.367277215983,-232.489343746177,146.851871254206,-2.61459206964
4.17,-0,-0,-0,-0,-0,-0,-6.35575481396113,0.482232863178558,659.311062787093,-232.178075166344,146.917025858804,-2.66643144127821
4.18,-0,-0,-0,-0,-0,-0,-5.70515337937587,1.25389653398864,659.32930756731,-231.884922014945,146.993085053471,-2.73230356059795
4.19,-0,-0,-0,-0,-0,-0,-5.08653848088416,2.07271978512438,659.437333495502,-231.608401976457,147.08759552475,-2.80792311876547
4.2,-0,-0,-0,-0,-0,-0,-4.49456002519665,2.92713755380996,659.659783974996,-231.343351230718,147.207083619183,-2.8888909295306
4.21,-0,-0,-0,-0,-0,-0,-3.92388347825896,3.80604981253376,660.003626109217,-231.083704077946,147.35660067501,-2.97118191570613
